host_is_superhost,host is superhost and cancellation policy,cancellation_policy,beach essentials vs family/kid friendly,first aid kit,host listings count vs cancellation policy,host_total_listings_count,host_listings_count,host listings count and pets allowed,pets allowed,pets allowed to host listings count,instant_bookable,beach essentials,property_type
0,0,3,0,0,16.0,19.0,19.0,0.0,0,0.0,0,0,1
0,0,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,1,23
1,3,3,0,0,9.0,12.0,12.0,12.0,1,0.07692307692307693,0,0,1
1,1,1,-1,1,6.0,7.0,7.0,0.0,0,0.0,1,0,1
1,3,3,1,1,60.0,63.0,63.0,0.0,0,0.0,1,1,1
1,1,1,0,1,2.0,3.0,3.0,0.0,0,0.0,0,1,5
1,3,3,0,1,12.0,15.0,15.0,0.0,0,0.0,0,1,23
1,3,3,0,1,5.0,8.0,8.0,8.0,1,0.1111111111111111,1,0,23
0,0,1,0,1,0.0,1.0,1.0,1.0,1,0.5,0,0,19
0,0,1,0,0,0.0,1.0,1.0,0.0,0,0.0,1,0,1
0,0,1,-1,0,29.0,30.0,30.0,30.0,1,0.03225806451612903,1,0,1
0,0,1,-1,1,4.0,5.0,5.0,0.0,0,0.0,0,0,1
0,0,2,-1,1,936.0,938.0,938.0,0.0,0,0.0,1,0,1
1,1,1,-1,1,1.0,2.0,2.0,0.0,0,0.0,1,0,1
0,0,3,-1,0,58.0,61.0,61.0,0.0,0,0.0,1,0,14
1,5,5,-1,0,118.0,123.0,123.0,0.0,0,0.0,1,0,23
0,0,1,-1,1,0.0,1.0,1.0,0.0,0,0.0,1,0,23
1,1,1,-1,0,0.0,1.0,1.0,0.0,0,0.0,0,0,19
1,1,1,0,0,6.0,7.0,7.0,0.0,0,0.0,1,0,1
0,0,3,-1,0,-1.0,2.0,2.0,0.0,0,0.0,1,0,1
1,3,3,-1,0,1.0,4.0,4.0,0.0,0,0.0,1,0,15
1,1,1,-1,1,3.0,4.0,4.0,0.0,0,0.0,0,0,1
0,0,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,0,23
0,0,3,-1,0,-2.0,1.0,1.0,1.0,1,0.5,0,0,23
0,0,3,-1,0,11.0,14.0,14.0,14.0,1,0.06666666666666667,1,0,23
0,0,1,0,0,0.0,1.0,1.0,0.0,0,0.0,1,0,14
1,0,0,0,1,2.0,2.0,2.0,0.0,0,0.0,1,0,14
1,3,3,0,1,-2.0,1.0,1.0,0.0,0,0.0,1,0,14
1,1,1,0,0,1.0,2.0,2.0,0.0,0,0.0,1,0,1
0,0,0,0,1,1.0,1.0,1.0,1.0,1,0.5,0,1,35
0,0,0,0,0,11.0,11.0,11.0,0.0,0,0.0,1,0,23
1,3,3,-1,0,-1.0,2.0,2.0,0.0,0,0.0,0,0,14
0,0,1,-1,0,4.0,5.0,5.0,5.0,1,0.16666666666666666,1,0,23
0,0,1,0,0,0.0,1.0,1.0,0.0,0,0.0,0,0,1
0,0,1,-1,1,0.0,1.0,1.0,0.0,0,0.0,0,0,19
0,0,3,0,1,-2.0,1.0,1.0,0.0,0,0.0,0,0,23
0,0,3,0,0,-3.0,0.0,0.0,0.0,0,0.0,1,0,14
0,0,1,0,1,0.0,1.0,1.0,0.0,0,0.0,1,0,23
1,3,3,-1,1,4.0,7.0,7.0,0.0,0,0.0,1,0,23
0,0,3,0,0,53.0,56.0,56.0,0.0,0,0.0,1,0,1
1,3,3,-1,0,1.0,4.0,4.0,0.0,0,0.0,1,0,32
1,1,1,0,1,5.0,6.0,6.0,0.0,0,0.0,0,0,23
0,0,1,-1,1,17.0,18.0,18.0,0.0,0,0.0,1,0,14
1,3,3,-1,1,-2.0,1.0,1.0,0.0,0,0.0,0,0,23
0,0,3,0,1,0.0,3.0,3.0,0.0,0,0.0,0,0,23
1,0,0,-1,0,1.0,1.0,1.0,0.0,0,0.0,0,0,19
0,0,1,0,1,4.0,5.0,5.0,0.0,0,0.0,1,0,23
1,0,0,1,0,4.0,4.0,4.0,0.0,0,0.0,0,1,23
1,1,1,1,0,1.0,2.0,2.0,0.0,0,0.0,0,1,23
1,1,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,0,20
1,1,1,-1,1,1.0,2.0,2.0,2.0,1,0.3333333333333333,0,0,15
0,0,1,0,1,0.0,1.0,1.0,0.0,0,0.0,1,0,19
0,0,0,-1,0,5.0,5.0,5.0,0.0,0,0.0,0,0,27
0,0,0,0,1,1.0,1.0,1.0,0.0,0,0.0,1,0,1
0,0,0,0,1,1.0,1.0,1.0,0.0,0,0.0,0,0,1
1,3,3,1,1,-1.0,2.0,2.0,2.0,1,0.3333333333333333,1,1,23
0,0,3,0,0,6.0,9.0,9.0,0.0,0,0.0,1,0,25
1,1,1,-1,0,2.0,3.0,3.0,0.0,0,0.0,0,0,28
0,0,3,0,0,2.0,5.0,5.0,0.0,0,0.0,1,0,23
0,0,1,0,1,0.0,1.0,1.0,0.0,0,0.0,1,0,23
0,0,3,-1,0,50.0,53.0,53.0,53.0,1,0.018518518518518517,1,0,23
0,0,0,-1,0,2.0,2.0,2.0,2.0,1,0.3333333333333333,1,0,23
0,0,1,0,0,0.0,1.0,1.0,0.0,0,0.0,1,0,23
0,0,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,0,23
1,1,1,-1,0,23.0,24.0,24.0,24.0,1,0.04,1,0,25
1,3,3,1,1,0.0,3.0,3.0,0.0,0,0.0,1,1,23
1,3,3,-1,0,-1.0,2.0,2.0,0.0,0,0.0,0,0,1
0,0,3,0,1,17.0,20.0,20.0,20.0,1,0.047619047619047616,0,0,1
0,0,1,0,0,0.0,1.0,1.0,0.0,0,0.0,0,0,32
1,1,1,-1,1,0.0,1.0,1.0,0.0,0,0.0,0,0,15
1,1,1,0,0,3.0,4.0,4.0,0.0,0,0.0,0,0,23
1,3,3,0,1,13.0,16.0,16.0,16.0,1,0.058823529411764705,1,0,23
1,1,1,0,1,9.0,10.0,10.0,0.0,0,0.0,1,0,1
1,3,3,0,1,-1.0,2.0,2.0,0.0,0,0.0,0,0,1
1,3,3,1,0,-1.0,2.0,2.0,0.0,0,0.0,1,1,5
1,1,1,-1,1,0.0,1.0,1.0,0.0,0,0.0,1,0,23
1,3,3,0,0,23.0,26.0,26.0,0.0,0,0.0,1,0,14
0,0,2,-1,1,936.0,938.0,938.0,0.0,0,0.0,1,0,1
0,0,3,-1,0,2.0,5.0,5.0,0.0,0,0.0,1,0,25
0,0,3,-1,0,-1.0,2.0,2.0,0.0,0,0.0,1,0,23
0,0,0,0,1,5.0,5.0,5.0,5.0,1,0.16666666666666666,0,0,20
1,0,0,0,0,1.0,1.0,1.0,0.0,0,0.0,0,0,10
0,0,0,-1,1,1.0,1.0,1.0,1.0,1,0.5,0,0,1
0,0,0,0,1,1.0,1.0,1.0,0.0,0,0.0,0,0,1
